"Frame","Module","Location","Address","Path"
"0","FLTMGR.SYS","FltPerformSynchronousIo + 0x12cf","0xfffff8007bdcbaaf","C:\Windows\System32\drivers\FLTMGR.SYS"
"1","FLTMGR.SYS","FltPerformSynchronousIo + 0x9c0","0xfffff8007bdcb1a0","C:\Windows\System32\drivers\FLTMGR.SYS"
"2","FLTMGR.SYS","FltAllocateFileLock + 0x1bc0","0xfffff8007be368e0","C:\Windows\System32\drivers\FLTMGR.SYS"
"3","ntoskrnl.exe","IofCallDriver + 0x9b","0xfffff800ea5a953b","C:\Windows\system32\ntoskrnl.exe"
"4","ntoskrnl.exe","IofCallDriver + 0x13","0xfffff800ea5a94b3","C:\Windows\system32\ntoskrnl.exe"
"5","ntoskrnl.exe","ObOpenObjectByNameEx + 0x447b","0xfffff800eaa9a83b","C:\Windows\system32\ntoskrnl.exe"
"6","ntoskrnl.exe","ObOpenObjectByNameEx + 0x251a","0xfffff800eaa988da","C:\Windows\system32\ntoskrnl.exe"
"7","ntoskrnl.exe","ObOpenObjectByNameEx + 0x223","0xfffff800eaa965e3","C:\Windows\system32\ntoskrnl.exe"
"8","ntoskrnl.exe","NtCreateFile + 0xe9f","0xfffff800eab664bf","C:\Windows\system32\ntoskrnl.exe"
"9","ntoskrnl.exe","NtCreateFile + 0x79","0xfffff800eab65699","C:\Windows\system32\ntoskrnl.exe"
"10","ntoskrnl.exe","setjmpex + 0x9265","0xfffff800ea8bd955","C:\Windows\system32\ntoskrnl.exe"
"11","ntdll.dll","NtCreateFile + 0x14","0x7ff99f5225a4","C:\Windows\SYSTEM32\ntdll.dll"
"12","KERNELBASE.dll","GetDriveTypeW + 0xe57","0x7ff99c105537","C:\Windows\System32\KERNELBASE.dll"
"13","KERNELBASE.dll","CreateFileW + 0x97","0x7ff99c106e27","C:\Windows\System32\KERNELBASE.dll"
"14","shcore.dll","Ordinal101 + 0x4f3","0x7ff99d56e843","C:\Windows\System32\shcore.dll"
"15","shcore.dll","Ordinal101 + 0xd7","0x7ff99d56e427","C:\Windows\System32\shcore.dll"
"16","shcore.dll","Ordinal100 + 0x1322","0x7ff99d56c012","C:\Windows\System32\shcore.dll"
"17","shcore.dll","Ordinal100 + 0x1005","0x7ff99d56bcf5","C:\Windows\System32\shcore.dll"
"18","shcore.dll","SHCreateStreamOnFileEx + 0x42","0x7ff99d59d512","C:\Windows\System32\shcore.dll"
"19","StartMenu.dll","DllGetActivationFactory + 0x209c75","0x7ff95aa66485","C:\Windows\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy\StartMenu.dll"
"20","StartMenu.dll","DllGetActivationFactory + 0x2099c0","0x7ff95aa661d0","C:\Windows\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy\StartMenu.dll"
"21","StartMenu.dll","DllGetActivationFactory + 0x20763c","0x7ff95aa63e4c","C:\Windows\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy\StartMenu.dll"
"22","ntdll.dll","TpSetWaitEx + 0xa89","0x7ff99f432d19","C:\Windows\SYSTEM32\ntdll.dll"
"23","ntdll.dll","RtlSetThreadSubProcessTag + 0x1f7d","0x7ff99f43628d","C:\Windows\SYSTEM32\ntdll.dll"
"24","KERNEL32.DLL","BaseThreadInitThunk + 0x17","0x7ff99dafe8d7","C:\Windows\System32\KERNEL32.DLL"
"25","ntdll.dll","RtlUserThreadStart + 0x2c","0x7ff99f44c3fc","C:\Windows\SYSTEM32\ntdll.dll"
